3231.TW,0.0%,11.57%
2382.TW,0.0%,-8.83%
2357.TW,0.0%,-13.25%
6176.TW,0.0%,26.66%
1102.TW,0.0%,-7.24%
2885.TW,0.0%,14.04%
3702.TW,0.0%,-10.76%
2301.TW,0.0%,11.93%
2324.TW,0.0%,2.9%
2449.TW,0.0%,-9.16%
6239.TW,0.0%,-9.69%
2347.TW,0.0%,14.07%
2353.TW,0.0%,12.41%
2356.TW,0.0%,6.06%
2377.TW,0.0%,13.81%
2379.TW,0.0%,-19.02%
2385.TW,0.0%,16.46%
2454.TW,0.0%,2.12%
2882.TW,0.0%,-19.52%
2883.TW,0.0%,-11.89%
4938.TW,0.0%,11.21%
6121.TWO,0.0%,16.8%
2330.TW,0.0%,-1.1%
0050.TW,0.0%,-1.21%
0056.TW,0.0%,-5.26%
00878.TW,0.0%,-1.34%
00900.TW,0.0%,-11.12%
00713.TW,0.0%,-6.43%
00701.TW,0.0%,-5.18%
00730.TW,0.0%,2.05%
00919.TW,0.0%,9.13%
00915.TW,0.0%,1.2%
00907.TW,0.0%,0.28%
00731.TW,0.0%,-5.47%
00918.TW,0.0%,0.47%
